"Summary","Project Name","Description","Issue Code","Severity","Remediation Guidance","Reference(s)","WCAG Success Criteria","Content-Type"
"Certain ARIA roles must be contained by particular parents","TaxSlayer-Message Centre Page","  Required ARIA parent role not present: row","<div role=""cell"" data-testid=""expandable-row-card"" msgid=""1da5433e-f36b-1410-8e1b-00b9e081b6d2"" id=""1da5433e-f36b-1410-8e1b-00b9e081b6d2"">","critical","Ensures elements with an ARIA role that require parent roles are contained by them","https://dequeuniversity.com/rules/axe/3.5/aria-required-parent?application=axeAPI","1.3.1 Info and Relationships (Level A),","Forms "
"Certain ARIA roles must be contained by particular parents","TaxSlayer-Message Centre Page","  Required ARIA parent role not present: row","<div role=""cell"" data-testid=""expandable-row-card"" msgid=""b2033a2e-b073-ec11-963c-005056943a42"" id=""b2033a2e-b073-ec11-963c-005056943a42"">","critical","Ensures elements with an ARIA role that require parent roles are contained by them","https://dequeuniversity.com/rules/axe/3.5/aria-required-parent?application=axeAPI","1.3.1 Info and Relationships (Level A),","Forms "
"Certain ARIA roles must be contained by particular parents","TaxSlayer-Message Centre Page","  Required ARIA parent role not present: row","<div role=""cell"" data-testid=""expandable-row-card"" msgid=""c38e5b18-336e-ec11-963c-005056943a42"" id=""c38e5b18-336e-ec11-963c-005056943a42"">","critical","Ensures elements with an ARIA role that require parent roles are contained by them","https://dequeuniversity.com/rules/axe/3.5/aria-required-parent?application=axeAPI","1.3.1 Info and Relationships (Level A),","Forms "
"Certain ARIA roles must be contained by particular parents","TaxSlayer-Message Centre Page","  Required ARIA parent role not present: row","<div role=""cell"" data-testid=""expandable-row-card"" msgid=""7ff50fc5-326e-ec11-963c-005056943a42"" id=""7ff50fc5-326e-ec11-963c-005056943a42"">","critical","Ensures elements with an ARIA role that require parent roles are contained by them","https://dequeuniversity.com/rules/axe/3.5/aria-required-parent?application=axeAPI","1.3.1 Info and Relationships (Level A),","Forms "
"Certain ARIA roles must be contained by particular parents","TaxSlayer-Message Centre Page","  Required ARIA parent role not present: row","<div role=""cell"" data-testid=""expandable-row-card"" msgid=""911b4bbb-326e-ec11-963c-005056943a42"" id=""911b4bbb-326e-ec11-963c-005056943a42"">","critical","Ensures elements with an ARIA role that require parent roles are contained by them","https://dequeuniversity.com/rules/axe/3.5/aria-required-parent?application=axeAPI","1.3.1 Info and Relationships (Level A),","Forms "
"Certain ARIA roles must be contained by particular parents","TaxSlayer-Message Centre Page","  Required ARIA parent role not present: row","<div role=""cell"" data-testid=""expandable-row-card"" msgid=""66b7b13e-306e-ec11-963c-005056943a42"" id=""66b7b13e-306e-ec11-963c-005056943a42"">","critical","Ensures elements with an ARIA role that require parent roles are contained by them","https://dequeuniversity.com/rules/axe/3.5/aria-required-parent?application=axeAPI","1.3.1 Info and Relationships (Level A),","Forms "
"Certain ARIA roles must be contained by particular parents","TaxSlayer-Message Centre Page","  Required ARIA parent role not present: row","<div role=""cell"" data-testid=""expandable-row-card"" msgid=""250b5719-2f6e-ec11-963c-005056943a42"" id=""250b5719-2f6e-ec11-963c-005056943a42"">","critical","Ensures elements with an ARIA role that require parent roles are contained by them","https://dequeuniversity.com/rules/axe/3.5/aria-required-parent?application=axeAPI","1.3.1 Info and Relationships (Level A),","Forms "
"Elements must have sufficient color contrast","TaxSlayer-Message Centre Page","  Element has insufficient color contrast of 1.82 (foreground color: #b7b7b7, background color: #f4f4f4, font size: 15.0pt (20px), font weight: normal). Expected contrast ratio of 4.5:1","<li class=""react-tabs__tab msg-cntr-tab-width msg-cntr-tab"" role=""tab"" id=""react-tabs-2"" aria-selected=""false"" aria-disabled=""false"" aria-controls=""react-tabs-3"" data-rttab=""true"">2021</li>","serious","Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds","https://dequeuniversity.com/rules/axe/3.5/color-contrast?application=axeAPI","1.4.3 Contrast (Minimum) (Level AA),","Color and CSS "
"Elements must have sufficient color contrast","TaxSlayer-Message Centre Page","  Element has insufficient color contrast of 1.82 (foreground color: #b7b7b7, background color: #f4f4f4, font size: 15.0pt (20px), font weight: normal). Expected contrast ratio of 4.5:1","<li class=""react-tabs__tab msg-cntr-tab-width msg-cntr-tab"" role=""tab"" id=""react-tabs-4"" aria-selected=""false"" aria-disabled=""false"" aria-controls=""react-tabs-5"" data-rttab=""true"">2020</li>","serious","Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds","https://dequeuniversity.com/rules/axe/3.5/color-contrast?application=axeAPI","1.4.3 Contrast (Minimum) (Level AA),","Color and CSS "
"Elements must have sufficient color contrast","TaxSlayer-Message Centre Page","  Element has insufficient color contrast of 1.26 (foreground color: #ffd700, background color: #f3f3f3, font size: 10.8pt (14.4px), font weight: normal). Expected contrast ratio of 4.5:1","<div class=""allowRC col-xs-3 col-sm-3 row-card heap-gold-css"" data-heap-redact-text=""true"">support-dev@taxslayer.com</div>","serious","Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds","https://dequeuniversity.com/rules/axe/3.5/color-contrast?application=axeAPI","1.4.3 Contrast (Minimum) (Level AA),","Color and CSS "
"Elements must have sufficient color contrast","TaxSlayer-Message Centre Page","  Element has insufficient color contrast of 4.03 (foreground color: #777777, background color: #f3f3f3, font size: 10.8pt (14.4px), font weight: normal). Expected contrast ratio of 4.5:1","<div class=""allowRC col-xs-6 col-sm-6 row-card"">Tax Support Email</div>","serious","Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds","https://dequeuniversity.com/rules/axe/3.5/color-contrast?application=axeAPI","1.4.3 Contrast (Minimum) (Level AA),","Color and CSS "
"Elements must have sufficient color contrast","TaxSlayer-Message Centre Page","  Element has insufficient color contrast of 4.03 (foreground color: #777777, background color: #f3f3f3, font size: 10.8pt (14.4px), font weight: normal). Expected contrast ratio of 4.5:1","<div class=""allowRC col-xs-2 col-sm-2 row-card-date"">May 27</div>","serious","Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds","https://dequeuniversity.com/rules/axe/3.5/color-contrast?application=axeAPI","1.4.3 Contrast (Minimum) (Level AA),","Color and CSS "
"Elements must have sufficient color contrast","TaxSlayer-Message Centre Page","  Element has insufficient color contrast of 1.26 (foreground color: #ffd700, background color: #f3f3f3, font size: 10.8pt (14.4px), font weight: normal). Expected contrast ratio of 4.5:1","<div class=""allowRC col-xs-3 col-sm-3 row-card heap-gold-css"" data-heap-redact-text=""true"">support-dev@taxslayer.com</div>","serious","Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds","https://dequeuniversity.com/rules/axe/3.5/color-contrast?application=axeAPI","1.4.3 Contrast (Minimum) (Level AA),","Color and CSS "
"Elements must have sufficient color contrast","TaxSlayer-Message Centre Page","  Element has insufficient color contrast of 4.03 (foreground color: #777777, background color: #f3f3f3, font size: 10.8pt (14.4px), font weight: normal). Expected contrast ratio of 4.5:1","<div class=""allowRC col-xs-6 col-sm-6 row-card"">Tax Support Email</div>","serious","Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds","https://dequeuniversity.com/rules/axe/3.5/color-contrast?application=axeAPI","1.4.3 Contrast (Minimum) (Level AA),","Color and CSS "
"Elements must have sufficient color contrast","TaxSlayer-Message Centre Page","  Element has insufficient color contrast of 4.03 (foreground color: #777777, background color: #f3f3f3, font size: 10.8pt (14.4px), font weight: normal). Expected contrast ratio of 4.5:1","<div class=""allowRC col-xs-2 col-sm-2 row-card-date"">May 24</div>","serious","Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds","https://dequeuniversity.com/rules/axe/3.5/color-contrast?application=axeAPI","1.4.3 Contrast (Minimum) (Level AA),","Color and CSS "
"Elements must have sufficient color contrast","TaxSlayer-Message Centre Page","  Element has insufficient color contrast of 1.26 (foreground color: #ffd700, background color: #f3f3f3, font size: 10.8pt (14.4px), font weight: normal). Expected contrast ratio of 4.5:1","<div class=""allowRC col-xs-3 col-sm-3 row-card heap-gold-css"" data-heap-redact-text=""true"">support-dev@taxslayer.com</div>","serious","Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds","https://dequeuniversity.com/rules/axe/3.5/color-contrast?application=axeAPI","1.4.3 Contrast (Minimum) (Level AA),","Color and CSS "
"Elements must have sufficient color contrast","TaxSlayer-Message Centre Page","  Element has insufficient color contrast of 4.03 (foreground color: #777777, background color: #f3f3f3, font size: 10.8pt (14.4px), font weight: normal). Expected contrast ratio of 4.5:1","<div class=""allowRC col-xs-6 col-sm-6 row-card"">Tax Support Email</div>","serious","Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds","https://dequeuniversity.com/rules/axe/3.5/color-contrast?application=axeAPI","1.4.3 Contrast (Minimum) (Level AA),","Color and CSS "
"Elements must have sufficient color contrast","TaxSlayer-Message Centre Page","  Element has insufficient color contrast of 4.03 (foreground color: #777777, background color: #f3f3f3, font size: 10.8pt (14.4px), font weight: normal). Expected contrast ratio of 4.5:1","<div class=""allowRC col-xs-2 col-sm-2 row-card-date"">May 24</div>","serious","Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds","https://dequeuniversity.com/rules/axe/3.5/color-contrast?application=axeAPI","1.4.3 Contrast (Minimum) (Level AA),","Color and CSS "
"Elements must have sufficient color contrast","TaxSlayer-Message Centre Page","  Element has insufficient color contrast of 1.26 (foreground color: #ffd700, background color: #f3f3f3, font size: 10.8pt (14.4px), font weight: normal). Expected contrast ratio of 4.5:1","<div class=""allowRC col-xs-3 col-sm-3 row-card heap-gold-css"" data-heap-redact-text=""true"">support-dev@taxslayer.com</div>","serious","Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds","https://dequeuniversity.com/rules/axe/3.5/color-contrast?application=axeAPI","1.4.3 Contrast (Minimum) (Level AA),","Color and CSS "
"Elements must have sufficient color contrast","TaxSlayer-Message Centre Page","  Element has insufficient color contrast of 4.03 (foreground color: #777777, background color: #f3f3f3, font size: 10.8pt (14.4px), font weight: normal). Expected contrast ratio of 4.5:1","<div class=""allowRC col-xs-6 col-sm-6 row-card"">Tax Support Email</div>","serious","Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds","https://dequeuniversity.com/rules/axe/3.5/color-contrast?application=axeAPI","1.4.3 Contrast (Minimum) (Level AA),","Color and CSS "
"Elements must have sufficient color contrast","TaxSlayer-Message Centre Page","  Element has insufficient color contrast of 4.03 (foreground color: #777777, background color: #f3f3f3, font size: 10.8pt (14.4px), font weight: normal). Expected contrast ratio of 4.5:1","<div class=""allowRC col-xs-2 col-sm-2 row-card-date"">May 24</div>","serious","Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds","https://dequeuniversity.com/rules/axe/3.5/color-contrast?application=axeAPI","1.4.3 Contrast (Minimum) (Level AA),","Color and CSS "
"Elements must have sufficient color contrast","TaxSlayer-Message Centre Page","  Element has insufficient color contrast of 1.26 (foreground color: #ffd700, background color: #f3f3f3, font size: 10.8pt (14.4px), font weight: normal). Expected contrast ratio of 4.5:1","<div class=""allowRC col-xs-3 col-sm-3 row-card heap-gold-css"" data-heap-redact-text=""true"">support-dev@taxslayer.com</div>","serious","Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds","https://dequeuniversity.com/rules/axe/3.5/color-contrast?application=axeAPI","1.4.3 Contrast (Minimum) (Level AA),","Color and CSS "
"Elements must have sufficient color contrast","TaxSlayer-Message Centre Page","  Element has insufficient color contrast of 4.03 (foreground color: #777777, background color: #f3f3f3, font size: 10.8pt (14.4px), font weight: normal). Expected contrast ratio of 4.5:1","<div class=""allowRC col-xs-6 col-sm-6 row-card"">Tax Support Email</div>","serious","Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds","https://dequeuniversity.com/rules/axe/3.5/color-contrast?application=axeAPI","1.4.3 Contrast (Minimum) (Level AA),","Color and CSS "
"Elements must have sufficient color contrast","TaxSlayer-Message Centre Page","  Element has insufficient color contrast of 4.03 (foreground color: #777777, background color: #f3f3f3, font size: 10.8pt (14.4px), font weight: normal). Expected contrast ratio of 4.5:1","<div class=""allowRC col-xs-2 col-sm-2 row-card-date"">May 22</div>","serious","Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds","https://dequeuniversity.com/rules/axe/3.5/color-contrast?application=axeAPI","1.4.3 Contrast (Minimum) (Level AA),","Color and CSS "
"Elements must have sufficient color contrast","TaxSlayer-Message Centre Page","  Element has insufficient color contrast of 1.26 (foreground color: #ffd700, background color: #f3f3f3, font size: 10.8pt (14.4px), font weight: normal). Expected contrast ratio of 4.5:1","<div class=""allowRC col-xs-3 col-sm-3 row-card heap-gold-css"" data-heap-redact-text=""true"">support-dev@taxslayer.com</div>","serious","Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds","https://dequeuniversity.com/rules/axe/3.5/color-contrast?application=axeAPI","1.4.3 Contrast (Minimum) (Level AA),","Color and CSS "
"Elements must have sufficient color contrast","TaxSlayer-Message Centre Page","  Element has insufficient color contrast of 4.03 (foreground color: #777777, background color: #f3f3f3, font size: 10.8pt (14.4px), font weight: normal). Expected contrast ratio of 4.5:1","<div class=""allowRC col-xs-6 col-sm-6 row-card"">Test from moria</div>","serious","Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds","https://dequeuniversity.com/rules/axe/3.5/color-contrast?application=axeAPI","1.4.3 Contrast (Minimum) (Level AA),","Color and CSS "
"Elements must have sufficient color contrast","TaxSlayer-Message Centre Page","  Element has insufficient color contrast of 4.03 (foreground color: #777777, background color: #f3f3f3, font size: 10.8pt (14.4px), font weight: normal). Expected contrast ratio of 4.5:1","<div class=""allowRC col-xs-2 col-sm-2 row-card-date"">Jan 12</div>","serious","Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds","https://dequeuniversity.com/rules/axe/3.5/color-contrast?application=axeAPI","1.4.3 Contrast (Minimum) (Level AA),","Color and CSS "
"Elements must have sufficient color contrast","TaxSlayer-Message Centre Page","  Element has insufficient color contrast of 1.26 (foreground color: #ffd700, background color: #f3f3f3, font size: 10.8pt (14.4px), font weight: normal). Expected contrast ratio of 4.5:1","<div class=""allowRC col-xs-3 col-sm-3 row-card heap-gold-css"" data-heap-redact-text=""true"">support-dev@taxslayer.com</div>","serious","Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds","https://dequeuniversity.com/rules/axe/3.5/color-contrast?application=axeAPI","1.4.3 Contrast (Minimum) (Level AA),","Color and CSS "
"Elements must have sufficient color contrast","TaxSlayer-Message Centre Page","  Element has insufficient color contrast of 4.03 (foreground color: #777777, background color: #f3f3f3, font size: 10.8pt (14.4px), font weight: normal). Expected contrast ratio of 4.5:1","<div class=""allowRC col-xs-6 col-sm-6 row-card"">Tax Support Email</div>","serious","Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds","https://dequeuniversity.com/rules/axe/3.5/color-contrast?application=axeAPI","1.4.3 Contrast (Minimum) (Level AA),","Color and CSS "
"Elements must have sufficient color contrast","TaxSlayer-Message Centre Page","  Element has insufficient color contrast of 4.03 (foreground color: #777777, background color: #f3f3f3, font size: 10.8pt (14.4px), font weight: normal). Expected contrast ratio of 4.5:1","<div class=""allowRC col-xs-2 col-sm-2 row-card-date"">Jan 05</div>","serious","Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds","https://dequeuniversity.com/rules/axe/3.5/color-contrast?application=axeAPI","1.4.3 Contrast (Minimum) (Level AA),","Color and CSS "
"Elements must have sufficient color contrast","TaxSlayer-Message Centre Page","  Element has insufficient color contrast of 1.26 (foreground color: #ffd700, background color: #f3f3f3, font size: 10.8pt (14.4px), font weight: normal). Expected contrast ratio of 4.5:1","<div class=""allowRC col-xs-3 col-sm-3 row-card heap-gold-css"" data-heap-redact-text=""true"">support-dev@taxslayer.com</div>","serious","Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds","https://dequeuniversity.com/rules/axe/3.5/color-contrast?application=axeAPI","1.4.3 Contrast (Minimum) (Level AA),","Color and CSS "
"Elements must have sufficient color contrast","TaxSlayer-Message Centre Page","  Element has insufficient color contrast of 4.03 (foreground color: #777777, background color: #f3f3f3, font size: 10.8pt (14.4px), font weight: normal). Expected contrast ratio of 4.5:1","<div class=""allowRC col-xs-6 col-sm-6 row-card"">Tax Support Email</div>","serious","Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds","https://dequeuniversity.com/rules/axe/3.5/color-contrast?application=axeAPI","1.4.3 Contrast (Minimum) (Level AA),","Color and CSS "
"Elements must have sufficient color contrast","TaxSlayer-Message Centre Page","  Element has insufficient color contrast of 4.03 (foreground color: #777777, background color: #f3f3f3, font size: 10.8pt (14.4px), font weight: normal). Expected contrast ratio of 4.5:1","<div class=""allowRC col-xs-2 col-sm-2 row-card-date"">Jan 05</div>","serious","Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds","https://dequeuniversity.com/rules/axe/3.5/color-contrast?application=axeAPI","1.4.3 Contrast (Minimum) (Level AA),","Color and CSS "
"Elements must have sufficient color contrast","TaxSlayer-Message Centre Page","  Element has insufficient color contrast of 1.26 (foreground color: #ffd700, background color: #f3f3f3, font size: 10.8pt (14.4px), font weight: normal). Expected contrast ratio of 4.5:1","<div class=""allowRC col-xs-3 col-sm-3 row-card heap-gold-css"" data-heap-redact-text=""true"">support-dev@taxslayer.com</div>","serious","Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds","https://dequeuniversity.com/rules/axe/3.5/color-contrast?application=axeAPI","1.4.3 Contrast (Minimum) (Level AA),","Color and CSS "
"Elements must have sufficient color contrast","TaxSlayer-Message Centre Page","  Element has insufficient color contrast of 4.03 (foreground color: #777777, background color: #f3f3f3, font size: 10.8pt (14.4px), font weight: normal). Expected contrast ratio of 4.5:1","<div class=""allowRC col-xs-6 col-sm-6 row-card"">Tax Support Email</div>","serious","Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds","https://dequeuniversity.com/rules/axe/3.5/color-contrast?application=axeAPI","1.4.3 Contrast (Minimum) (Level AA),","Color and CSS "
"Elements must have sufficient color contrast","TaxSlayer-Message Centre Page","  Element has insufficient color contrast of 4.03 (foreground color: #777777, background color: #f3f3f3, font size: 10.8pt (14.4px), font weight: normal). Expected contrast ratio of 4.5:1","<div class=""allowRC col-xs-2 col-sm-2 row-card-date"">Jan 05</div>","serious","Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds","https://dequeuniversity.com/rules/axe/3.5/color-contrast?application=axeAPI","1.4.3 Contrast (Minimum) (Level AA),","Color and CSS "
"Elements must have sufficient color contrast","TaxSlayer-Message Centre Page","  Element has insufficient color contrast of 1.26 (foreground color: #ffd700, background color: #f3f3f3, font size: 10.8pt (14.4px), font weight: normal). Expected contrast ratio of 4.5:1","<div class=""allowRC col-xs-3 col-sm-3 row-card heap-gold-css"" data-heap-redact-text=""true"">support-dev@taxslayer.com</div>","serious","Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds","https://dequeuniversity.com/rules/axe/3.5/color-contrast?application=axeAPI","1.4.3 Contrast (Minimum) (Level AA),","Color and CSS "
"Elements must have sufficient color contrast","TaxSlayer-Message Centre Page","  Element has insufficient color contrast of 4.03 (foreground color: #777777, background color: #f3f3f3, font size: 10.8pt (14.4px), font weight: normal). Expected contrast ratio of 4.5:1","<div class=""allowRC col-xs-6 col-sm-6 row-card"">Tax Support Email</div>","serious","Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds","https://dequeuniversity.com/rules/axe/3.5/color-contrast?application=axeAPI","1.4.3 Contrast (Minimum) (Level AA),","Color and CSS "
"Elements must have sufficient color contrast","TaxSlayer-Message Centre Page","  Element has insufficient color contrast of 4.03 (foreground color: #777777, background color: #f3f3f3, font size: 10.8pt (14.4px), font weight: normal). Expected contrast ratio of 4.5:1","<div class=""allowRC col-xs-2 col-sm-2 row-card-date"">Jan 05</div>","serious","Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds","https://dequeuniversity.com/rules/axe/3.5/color-contrast?application=axeAPI","1.4.3 Contrast (Minimum) (Level AA),","Color and CSS "
"Elements must have sufficient color contrast","TaxSlayer-Message Centre Page","  Element has insufficient color contrast of 1.26 (foreground color: #ffd700, background color: #f3f3f3, font size: 10.8pt (14.4px), font weight: normal). Expected contrast ratio of 4.5:1","<div class=""allowRC col-xs-3 col-sm-3 row-card heap-gold-css"" data-heap-redact-text=""true"">support-dev@taxslayer.com</div>","serious","Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds","https://dequeuniversity.com/rules/axe/3.5/color-contrast?application=axeAPI","1.4.3 Contrast (Minimum) (Level AA),","Color and CSS "
"Elements must have sufficient color contrast","TaxSlayer-Message Centre Page","  Element has insufficient color contrast of 4.03 (foreground color: #777777, background color: #f3f3f3, font size: 10.8pt (14.4px), font weight: normal). Expected contrast ratio of 4.5:1","<div class=""allowRC col-xs-6 col-sm-6 row-card"">Tax Support Email</div>","serious","Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds","https://dequeuniversity.com/rules/axe/3.5/color-contrast?application=axeAPI","1.4.3 Contrast (Minimum) (Level AA),","Color and CSS "
"Elements must have sufficient color contrast","TaxSlayer-Message Centre Page","  Element has insufficient color contrast of 4.03 (foreground color: #777777, background color: #f3f3f3, font size: 10.8pt (14.4px), font weight: normal). Expected contrast ratio of 4.5:1","<div class=""allowRC col-xs-2 col-sm-2 row-card-date"">Jan 05</div>","serious","Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds","https://dequeuniversity.com/rules/axe/3.5/color-contrast?application=axeAPI","1.4.3 Contrast (Minimum) (Level AA),","Color and CSS "
